8,MTZ,MTZ Modified,MTZ + Lazy,MTZ + Lazy + Sec,GG,GG + Lazy,GG + Lazy + Sec,GG Original
gr96,168243.321103,191169.842102,1021104.647318,259179.745815,141924.687125,1020161.966245,155884.544795,97422.491488
gr96,349796.816980,256861.721067,710483.047533,1020078.921599,152075.265180,1020151.754506,243995.783492,112880.934220
gr96,176988.796552,636889.527940,528954.704549,1020279.546596,66338.322373,997186.160651,132040.158850,158225.389260
gr96,371235.080131,313583.150522,1020634.300163,1020815.088462,96956.163859,1020137.440908,118737.041718,157186.749609
gr96,507058.700636,272472.773104,1021413.110492,191470.029930,172665.416335,884775.548256,152632.031194,104809.370537
kroA100,376235.045589,250871.435454,1020446.840632,1020013.294076,220716.614589,1020194.696403,496120.128130,170175.686344
kroA100,512326.758189,397026.735823,1020804.895736,460671.324843,196997.101851,1020136.925596,212392.722696,83451.559022
kroA100,1020138.094105,716757.644654,727125.284855,1020530.121979,151897.266421,1020294.839032,530380.794456,135548.962099
kroA100,435658.664004,1020016.604060,1020547.436390,370740.673895,128284.123499,1020218.617443,358436.240732,159640.850634
kroA100,322887.290915,429685.399504,779061.179402,1020182.913379,123492.819643,1020246.977761,172166.112904,197038.098374
kroB100,1021138.170120,1020278.410499,1021122.457896,1020497.593779,258112.805993,1020138.464364,305274.040959,216676.475554
kroB100,1022740.989253,1020134.516229,1020643.519003,1020397.859692,128964.907753,1020118.041375,242829.015183,115380.439344
kroB100,1022021.405983,1021522.437896,1021522.437896,1020358.229799,166582.527704,1020211.005028,259860.287476,183686.151540
kroB100,1020284.772885,1020147.288297,1020322.435178,1020208.013229,240280.768552,1020157.543281,328304.376464,153775.518912
kroB100,1020745.821367,1020901.804965,1020237.411314,1021633.150588,137341.381129,1020107.747783,402096.704077,150390.911509
kroC100,1020012.227001,1020045.600238,1020803.654189,912943.363943,190049.980472,1020200.814592,142114.913841,234620.755288
kroC100,1020865.345901,1020093.102955,1021094.018999,1020052.308629,110921.042422,1020212.774052,144645.427136,110394.942907
kroC100,1020256.794471,1020019.545044,1021356.102757,1020291.043783,153256.100411,1020171.393188,107676.998726,219821.394480
kroC100,1020068.527779,1020241.470166,1021356.102757,1020086.941180,100837.850124,1020138.842417,195223.121084,112970.502426
kroC100,1020342.860097,1020406.256158,1020942.963243,1020213.705420,131725.631217,1020111.219007,137099.067370,208186.039850
kroD100,1020672.289763,1020164.425392,1020808.781325,1020653.532952,124789.733428,1020019.112131,142131.027251,112183.386688
kroD100,1021178.641209,1020931.489050,1020532.536153,1020666.863044,135318.361248,1020186.223220,138697.913008,158398.323853
kroD100,1021420.422424,1022472.857874,1020767.085638,1020622.936384,146074.277021,1020232.776025,129021.402487,170584.742819
kroD100,1020939.832897,1021266.164931,1020327.336759,1021529.090132,157186.575796,1020022.674613,97698.743418,164205.224003
kroD100,1021375.204558,1020236.214432,1020413.613531,1020776.662447,106698.775546,1020203.131271,166957.530120,142628.088285
kroE100,388015.016299,408209.852930,1021027.981596,1020756.908781,181659.326390,1020113.991719,319007.946845,232453.174310
kroE100,296932.513178,530983.844838,1021095.462852,399870.487039,264653.508546,1020283.963982,158686.393606,196264.797306
kroE100,258457.209665,319860.818950,1021435.754867,528227.199409,157221.664573,1020207.334473,332146.630042,248794.761151
kroE100,354878.635248,1020014.186181,664091.569939,232235.715366,232249.407077,1020136.241787,529701.262789,84448.209767
kroE100,354977.505473,307409.321522,1020789.957506,313824.448990,212649.983563,1020191.713728,274078.595100,153860.242072
lin105,1020024.882020,1021151.050202,1020431.561619,89580.166543,97718.066069,1020204.386087,122426.395764,125347.267095
lin105,1020052.322468,1020363.314092,1020954.931485,165013.530088,103329.901076,1020181.341250,335898.873990,100310.547449
lin105,1020102.011717,1020028.393821,1020853.675831,1020020.182825,98034.219487,1020025.353550,124344.365770,111677.654195
lin105,1021041.519595,1020040.566554,1020572.918471,144789.414222,101763.420654,1020302.716020,287948.905223,102990.557954
lin105,1021016.220961,1021506.546208,1020583.303929,622504.576394,102395.167727,1020174.380795,153144.594275,161478.459400
pr107,1021858.249616,1021767.209348,1021767.209348,1021497.751801,1020050.417192,1020202.453644,491872.726405,1020038.459461
pr107,1021549.534307,1021565.730801,1021565.730801,1021547.213664,1020249.867126,1020299.678555,318108.204062,1020112.771020
pr107,1021364.865708,1021142.938890,1021142.938890,1021693.482011,1020202.594711,1020328.812751,877247.137791,1020046.535618
pr107,1021349.050544,1021262.087041,1021262.087041,1020703.197782,1020089.921637,1020201.323065,333739.253740,1020348.895044
pr107,1022000.971758,1020327.238753,1020327.238753,1021392.781092,1020059.895274,1020200.170083,1020038.905374,1020274.994897
pr76,163568.844144,207394.240883,129796.181099,418246.099958,111407.744477,1020096.897141,228074.210155,100507.245251
pr76,113184.540096,194089.141754,145097.470681,1023854.818790,103579.703828,1020010.274611,349754.330953,85504.219223
pr76,132615.236082,205651.089751,631199.490228,718724.341261,131909.102105,982220.748381,191613.768396,85853.396016
pr76,138834.276051,182535.159742,314953.365118,119580.039848,100700.087457,711723.951093,264357.522241,65418.046006
pr76,112082.128730,149374.938361,556490.501945,173462.480833,70346.660546,1020013.823281,212878.138064,78881.244606
rat99,15513.844601,25170.598228,19759.027278,3724.149598,97387.107641,477517.627713,38111.505639,71023.862755
rat99,25497.751605,19191.300254,25276.282238,3653.831918,86979.584846,310787.490837,35508.467896,113622.706029
rat99,14192.757971,46515.181560,32371.937967,3424.435016,106294.436057,964570.111204,65591.724458,132573.344498
rat99,24759.017165,17163.566454,15694.478819,3613.373208,140452.662884,294331.688274,28223.967812,104995.737461
rat99,22338.074548,21146.526165,9720.902708,3806.048329,135199.445901,742574.693357,37437.318605,147272.851191
rd100,93138.564497,111104.663829,160703.721495,123890.383155,139851.253349,967940.892761,189713.842405,116201.684090
rd100,115239.585035,147882.150502,1020955.113277,106719.266533,102147.989998,1020186.629521,96725.390858,134825.452196
rd100,98470.124022,176110.439706,314752.147318,86270.857276,74650.036360,1020345.141785,123086.468365,131293.922568
rd100,126303.440907,179075.518101,1020229.216785,200491.644694,118315.797846,1020151.721980,86978.667192,94515.979426
rd100,31978.867339,113646.947475,193178.104483,87062.387161,97675.716009,1020018.457951,104990.147678,91820.288205
st70,979799.717401,541124.644046,1021666.466624,17423.376200,20769.640436,184283.131932,41883.121722,28227.664675
st70,1020009.307438,377706.925035,1021456.596387,43632.797250,26782.467210,368425.651783,34710.639030,37350.222047
st70,1020152.862635,367635.378945,722654.217355,58993.773911,42369.869840,784232.260841,34499.018474,49389.158475
st70,195010.947267,892091.172371,1022321.425943,51280.433354,41291.296696,171936.381064,25324.160707,31166.386456
st70,245063.603966,1020013.311619,102141.421415,39918.480042,24994.894684,237247.568654,37027.220272,24583.713078
ulysses16,481.940446,481.364134,279.824821,437.834851,171.195801,65.087016,88.469820,297.990161
ulysses16,418.623566,608.690151,230.559692,388.130910,138.686214,80.575308,95.676642,219.453414
ulysses16,429.094629,687.858410,265.312970,554.413612,177.149976,94.353198,62.215304,174.650798
ulysses16,422.173820,655.614531,393.420025,348.740241,146.235804,104.712186,70.586322,272.099843
ulysses16,515.557003,594.082718,217.721863,429.276446,258.344136,61.482764,68.203283,180.798509
ulysses22,62862.922426,52146.838523,13047.246082,17178.256473,420.624081,711.293962,203.276546,624.856659
ulysses22,82862.597518,7733.948477,21989.106658,26996.157653,650.297935,441.121884,224.695697,709.479503
ulysses22,64662.265852,55009.107348,10590.376799,27561.724767,333.169208,566.867007,189.643821,555.803230
ulysses22,63722.485652,43437.498840,20493.663856,20784.608320,512.120881,376.103241,172.687006,498.532861
ulysses22,8943.384721,61749.764075,15939.931498,13996.688645,457.625296,758.972262,243.075523,419.705354
