4,Benders,Benders (Kruskal),Callback,Callback + 2OPT
lin318,30094.808906,31161.969486,10290.350013,12312.797299
lin318,30677.663735,1021771.805063,11383.626178,12025.817210
p654,1322685.334784,1021065.539201,71234.185327,197526.717086
p654,1173176.187359,1184626.043903,173128.088299,49892.939807
p654,1025037.383914,1051771.416011,114135.255514,236031.049284
p654,1033206.599314,1023189.408379,123296.047458,80508.695686
pcb442,1054072.058853,1077210.530096,10714.607067,7625.873707
pcb442,1052771.285196,1104336.247334,7541.765672,9318.572800
pcb442,1060762.801618,1087461.301304,12253.642159,8329.592596
pcb442,1067707.992611,1098816.360438,10651.277527,9525.976141
pr226,40503.914908,28181.067851,6832.698569,4478.210021
pr226,40200.390026,27569.595500,3204.122959,5399.837327
pr226,37539.248289,35539.797756,10188.371166,8962.666055
pr226,56936.012975,76886.184102,8235.133035,5625.704619
pr264,69175.213879,455811.961679,2950.678438,2571.504452
pr264,72439.009121,71547.823791,4797.678678,3427.887675
pr264,74878.565005,82212.386662,6247.730518,4339.369801
pr264,75157.046226,90180.053972,3730.750244,4001.479113
pr299,87978.488329,86920.232562,36014.855337,12604.772535
pr299,80047.360940,1025319.069433,49839.879190,41841.789186
pr299,80516.872305,1021177.415532,44862.208879,24524.929893
pr299,84679.376274,85784.038141,38068.556364,24965.942929
pr439,381532.061195,378040.109487,98057.742487,83101.871063
pr439,345778.844043,347974.083126,214235.474888,157107.851721
pr439,344036.747389,374766.835148,140333.006381,63096.117476
pr439,351087.541452,324456.712914,98058.501921,92958.757704
rat575,395583.446285,557124.906561,171323.386169,111773.234723
rat575,541410.209479,1024931.536205,60369.805879,126974.400218
rat575,424985.091043,422359.190215,84918.068890,213234.629141
rat575,462672.873954,391769.810784,114670.774405,79479.908480
rd400,199295.693770,225642.587366,20992.596531,17356.109832
rd400,185398.748914,179295.367595,23511.893382,21898.906275
rd400,230648.990828,271762.303050,22504.862426,40425.318428
rd400,182856.549600,223685.959196,27528.914822,20072.672459
ts225,1557724.060905,1156644.198466,1020814.050380,1020661.760569
ts225,1178897.113472,1321543.476913,1020380.606884,1020574.895730
ts225,1704055.933805,1387800.210970,1021047.356673,1021169.688015
ts225,1330208.947695,1189766.075496,1021339.496014,1020824.163144
tsp225,12702.470358,10158.301100,3120.136021,3000.441562
tsp225,9009.627066,11221.846868,3817.281084,2923.575749
tsp225,10795.703038,8322.862856,2586.112961,3925.375324
tsp225,11260.774249,11265.689326,3325.745100,1978.393719
u574,209851.766557,234419.097388,128558.386092,54990.070444
u574,294559.195225,212577.097665,95023.409913,69447.819240
u574,219931.774364,237461.948393,95630.850550,91629.735157
u574,220265.127512,1104669.777108,199514.230942,83337.485718
rand7_541,356216.404984,1046628.036807,64408.945141,77323.684484
rand7_541,363980.713067,396489.056702,105313.342386,59185.323049
rand7_541,360435.888210,1021498.120556,80261.423387,72551.131144
rand7_541,328061.266265,325423.924908,104588.808178,70043.901706
